chart_id,track_id,in_spotify_charts,in_apple_charts,in_deezer_charts,in_shazam_charts
214,184,17.0,96.0,2.0,116
215,175,17.0,85.0,1.0,47
216,83,17.0,72.0,0.0,8
217,295,17.0,35.0,19.0,0
218,306,17.0,11.0,1.0,2
219,199,17.0,0.0,6.0,0
220,405,16.0,119.0,1.0,13
221,174,16.0,102.0,1.0,117
222,163,16.0,101.0,0.0,40
223,708,16.0,84.0,7.0,11
224,187,16.0,73.0,3.0,37
225,147,16.0,69.0,0.0,558
226,219,16.0,69.0,0.0,36
227,389,16.0,60.0,12.0,124
228,171,16.0,60.0,1.0,44
229,135,16.0,37.0,0.0,189
230,324,16.0,37.0,0.0,13
231,382,16.0,24.0,7.0,451
232,642,16.0,23.0,1.0,0
233,328,16.0,8.0,2.0,0
234,785,15.0,116.0,7.0,0
235,264,15.0,102.0,0.0,55
236,626,15.0,99.0,2.0,120
237,415,15.0,97.0,0.0,154
238,288,15.0,70.0,0.0,27
239,369,15.0,59.0,5.0,52
240,113,15.0,52.0,1.0,0
241,354,15.0,34.0,4.0,19
242,60,15.0,17.0,4.0,167
243,346,15.0,15.0,2.0,47
244,151,14.0,110.0,2.0,60
245,374,14.0,94.0,0.0,23
246,181,14.0,84.0,1.0,30
247,406,14.0,84.0,0.0,35
248,148,14.0,71.0,1.0,195
249,297,14.0,51.0,0.0,0
250,194,14.0,50.0,0.0,19
251,195,14.0,37.0,0.0,167
252,361,14.0,21.0,15.0,38
253,201,14.0,18.0,1.0,0
254,155,14.0,14.0,5.0,56
255,408,14.0,9.0,0.0,0
256,345,14.0,3.0,0.0,0
257,164,13.0,115.0,0.0,200
258,256,13.0,110.0,0.0,49
259,173,13.0,82.0,4.0,13
260,287,13.0,71.0,1.0,9
261,176,13.0,70.0,9.0,20
262,496,13.0,50.0,3.0,1
263,838,13.0,38.0,1.0,33
264,209,13.0,34.0,1.0,171
265,242,13.0,27.0,0.0,0
266,375,13.0,7.0,3.0,1
267,283,13.0,1.0,1.0,37
268,138,13.0,0.0,0.0,0
269,188,13.0,0.0,0.0,0
270,378,13.0,0.0,0.0,0
271,864,12.0,275.0,3.0,128
272,630,12.0,155.0,6.0,121
273,880,12.0,141.0,0.0,1
274,892,12.0,129.0,0.0,12
275,267,12.0,103.0,0.0,55
276,542,12.0,102.0,0.0,30
277,90,12.0,97.0,0.0,429
278,383,12.0,95.0,0.0,3
279,191,12.0,90.0,0.0,7
280,311,12.0,84.0,16.0,117
281,257,12.0,84.0,2.0,9
282,230,12.0,72.0,16.0,29
283,899,12.0,36.0,1.0,0
284,413,12.0,32.0,2.0,0
285,266,12.0,14.0,2.0,33
286,553,12.0,4.0,1.0,3
287,120,11.0,117.0,1.0,74
288,706,11.0,41.0,1.0,1
289,193,11.0,33.0,0.0,1
290,653,11.0,27.0,0.0,4
291,672,11.0,20.0,0.0,0
292,859,11.0,18.0,1.0,4
293,351,11.0,15.0,3.0,1
294,366,11.0,0.0,0.0,2
295,169,11.0,0.0,0.0,0
296,916,10.0,129.0,0.0,1
297,263,10.0,93.0,0.0,320
298,207,10.0,92.0,2.0,26
299,231,10.0,88.0,26.0,23
300,591,10.0,76.0,1.0,1
301,222,10.0,72.0,3.0,14
302,273,10.0,64.0,2.0,37
303,183,10.0,25.0,0.0,263
304,544,10.0,24.0,0.0,1
305,335,10.0,16.0,3.0,165
306,594,10.0,16.0,0.0,13
307,179,10.0,0.0,7.0,0
308,280,10.0,0.0,0.0,0
309,620,9.0,121.0,4.0,160
310,683,9.0,106.0,0.0,8
311,934,9.0,100.0,1.0,27
312,276,9.0,90.0,0.0,64
313,153,9.0,88.0,3.0,72
314,316,9.0,88.0,0.0,14
315,397,9.0,66.0,13.0,1
316,262,9.0,55.0,0.0,6
317,887,9.0,33.0,1.0,0
318,550,9.0,31.0,5.0,28
319,737,9.0,25.0,0.0,10
320,300,9.0,8.0,0.0,6
321,82,9.0,6.0,2.0,72
322,815,9.0,5.0,0.0,0
323,154,9.0,0.0,0.0,0
324,732,8.0,124.0,0.0,1
325,612,8.0,122.0,0.0,55
326,137,8.0,88.0,0.0,52
327,220,8.0,78.0,1.0,1
328,150,8.0,76.0,1.0,93
329,545,8.0,75.0,6.0,16
330,898,8.0,72.0,1.0,7
331,237,8.0,43.0,10.0,1
332,308,8.0,42.0,16.0,58
333,791,8.0,40.0,1.0,210
334,770,8.0,25.0,1.0,0
335,411,8.0,21.0,1.0,52
336,432,8.0,13.0,0.0,60
337,185,8.0,10.0,0.0,57
338,142,8.0,2.0,2.0,66
339,849,8.0,1.0,0.0,1
340,654,7.0,106.0,1.0,35
341,365,7.0,88.0,21.0,10
342,659,7.0,85.0,0.0,1
343,182,7.0,72.0,5.0,80
344,323,7.0,53.0,0.0,10
345,777,7.0,30.0,0.0,33
346,322,7.0,19.0,0.0,6
347,919,7.0,12.0,2.0,28
348,893,7.0,11.0,0.0,0
349,141,7.0,9.0,1.0,66
350,434,7.0,4.0,0.0,0
351,401,7.0,1.0,0.0,2
352,559,6.0,135.0,0.0,5
353,590,6.0,125.0,2.0,78
354,912,6.0,116.0,0.0,11
355,622,6.0,116.0,0.0,3
356,371,6.0,115.0,1.0,221
357,292,6.0,107.0,1.0,105
358,527,6.0,107.0,0.0,5
359,337,6.0,101.0,0.0,66
360,350,6.0,100.0,13.0,2
361,437,6.0,98.0,0.0,0
362,499,6.0,89.0,0.0,3
363,275,6.0,84.0,1.0,4
364,376,6.0,80.0,0.0,8
365,211,6.0,79.0,0.0,42
366,204,6.0,71.0,0.0,31
367,235,6.0,70.0,0.0,182
368,367,6.0,69.0,2.0,6
369,894,6.0,53.0,12.0,0
370,412,6.0,53.0,1.0,32
371,313,6.0,48.0,1.0,9
372,224,6.0,48.0,0.0,240
373,253,6.0,42.0,3.0,31
374,762,6.0,30.0,1.0,1
375,901,6.0,25.0,1.0,0
376,279,6.0,23.0,3.0,16
377,803,6.0,22.0,0.0,0
378,232,6.0,14.0,2.0,4
379,881,6.0,10.0,0.0,4
380,349,6.0,10.0,0.0,1
381,398,6.0,7.0,2.0,0
382,111,6.0,6.0,0.0,48
383,270,6.0,6.0,0.0,5
384,914,6.0,0.0,2.0,68
385,358,6.0,0.0,2.0,0
386,646,5.0,113.0,0.0,1
387,310,5.0,98.0,3.0,10
388,758,5.0,87.0,0.0,36
389,226,5.0,82.0,0.0,113
390,886,5.0,79.0,2.0,0
391,909,5.0,65.0,1.0,198
392,210,5.0,60.0,1.0,109
393,240,5.0,57.0,2.0,49
394,870,5.0,55.0,0.0,101
395,534,5.0,49.0,1.0,2
396,208,5.0,41.0,0.0,19
397,286,5.0,31.0,1.0,0
398,229,5.0,29.0,1.0,29
399,832,5.0,28.0,0.0,208
400,625,5.0,15.0,0.0,2
401,331,5.0,0.0,0.0,0
402,600,4.0,127.0,0.0,37
403,851,4.0,106.0,0.0,7
404,429,4.0,101.0,0.0,0
405,244,4.0,100.0,20.0,438
406,891,4.0,95.0,9.0,202
407,325,4.0,94.0,0.0,18
408,466,4.0,87.0,0.0,46
409,309,4.0,84.0,1.0,28
410,402,4.0,79.0,0.0,0
411,393,4.0,78.0,0.0,0
412,294,4.0,77.0,1.0,1
413,578,4.0,70.0,0.0,3
414,491,4.0,64.0,3.0,36
415,409,4.0,64.0,1.0,4
416,334,4.0,58.0,0.0,21
417,357,4.0,53.0,0.0,61
418,200,4.0,46.0,1.0,10
419,585,4.0,46.0,0.0,45
420,299,4.0,45.0,2.0,24
421,883,4.0,43.0,1.0,0
422,695,4.0,40.0,9.0,35
423,562,4.0,39.0,0.0,46
424,314,4.0,29.0,0.0,0
425,315,4.0,27.0,9.0,444
426,632,4.0,24.0,0.0,70
427,661,4.0,21.0,0.0,0
428,336,4.0,20.0,0.0,0
429,877,4.0,18.0,0.0,0
430,285,4.0,13.0,0.0,43
431,800,4.0,11.0,0.0,0
432,876,4.0,10.0,0.0,0
433,258,4.0,7.0,1.0,29
434,277,4.0,6.0,1.0,18
435,342,4.0,6.0,0.0,23
436,852,4.0,5.0,0.0,6
437,268,4.0,4.0,0.0,4
438,623,4.0,3.0,0.0,0
439,738,4.0,3.0,0.0,0
440,247,4.0,2.0,1.0,11
441,889,4.0,2.0,1.0,3
442,359,4.0,1.0,2.0,0
443,364,4.0,1.0,0.0,1
444,272,4.0,0.0,0.0,0
445,867,4.0,0.0,0.0,0
446,902,4.0,0.0,0.0,0
447,920,4.0,0.0,0.0,0
448,713,3.0,162.0,8.0,17
449,861,3.0,124.0,1.0,0
450,757,3.0,105.0,0.0,84
451,572,3.0,93.0,6.0,4
452,614,3.0,82.0,0.0,5
453,698,3.0,40.0,1.0,1
454,783,3.0,25.0,0.0,0
455,400,3.0,24.0,0.0,30
456,773,3.0,24.0,0.0,0
457,576,3.0,21.0,0.0,13
458,823,3.0,10.0,0.0,0
459,212,3.0,6.0,1.0,33
460,260,3.0,5.0,0.0,20
461,301,3.0,3.0,1.0,1
462,589,3.0,3.0,0.0,1
463,830,3.0,1.0,0.0,1
464,537,3.0,0.0,0.0,0
465,879,2.0,266.0,0.0,141
466,565,2.0,145.0,0.0,46
467,633,2.0,134.0,0.0,2
468,697,2.0,113.0,1.0,4
469,431,2.0,109.0,1.0,10
470,684,2.0,104.0,1.0,0
471,399,2.0,89.0,0.0,25
472,333,2.0,82.0,0.0,9
473,702,2.0,82.0,0.0,5
474,555,2.0,76.0,0.0,16
475,477,2.0,74.0,0.0,2
476,637,2.0,67.0,1.0,19
477,249,2.0,57.0,1.0,33
478,929,2.0,52.0,0.0,95
479,689,2.0,50.0,1.0,8
480,385,2.0,40.0,1.0,15
481,814,2.0,35.0,1.0,1
482,540,2.0,21.0,1.0,0
483,942,2.0,18.0,1.0,0
484,436,2.0,18.0,0.0,1
485,805,2.0,16.0,0.0,5
486,666,2.0,13.0,1.0,7
487,524,2.0,13.0,0.0,40
488,875,2.0,12.0,0.0,0
489,906,2.0,10.0,1.0,1
490,476,2.0,6.0,1.0,9
491,340,2.0,6.0,0.0,150
492,742,2.0,6.0,0.0,15
493,699,2.0,4.0,0.0,0
494,704,2.0,2.0,1.0,0
495,609,2.0,2.0,0.0,6
496,318,2.0,2.0,0.0,0
497,741,2.0,2.0,0.0,0
498,748,2.0,2.0,0.0,0
499,701,2.0,0.0,1.0,1
500,871,2.0,0.0,0.0,30
501,223,2.0,0.0,0.0,0
502,265,2.0,0.0,0.0,0
503,372,2.0,0.0,0.0,0
504,610,2.0,0.0,0.0,0
505,863,1.0,151.0,3.0,99
506,668,1.0,114.0,0.0,5
507,580,1.0,89.0,0.0,0
508,691,1.0,71.0,2.0,5
509,752,1.0,24.0,0.0,2
510,228,1.0,20.0,0.0,1
511,254,1.0,13.0,0.0,1
512,781,1.0,12.0,0.0,0
513,822,1.0,11.0,0.0,1
514,663,1.0,5.0,0.0,0
515,533,1.0,3.0,0.0,0
516,728,1.0,3.0,0.0,0
517,839,1.0,1.0,0.0,0
518,844,1.0,1.0,0.0,0
519,817,1.0,0.0,0.0,0
520,854,0.0,198.0,1.0,0
521,749,0.0,188.0,0.0,0
522,721,0.0,159.0,0.0,44
523,821,0.0,132.0,0.0,3
524,681,0.0,129.0,0.0,28
525,601,0.0,127.0,0.0,62
526,568,0.0,123.0,0.0,10
527,657,0.0,123.0,0.0,4
528,554,0.0,122.0,0.0,2
529,458,0.0,120.0,0.0,0
530,619,0.0,118.0,2.0,77
531,682,0.0,116.0,0.0,0
532,452,0.0,111.0,0.0,0
533,820,0.0,110.0,0.0,0
534,446,0.0,107.0,0.0,1
535,865,0.0,105.0,0.0,2
536,344,0.0,101.0,0.0,48
537,599,0.0,99.0,0.0,2
538,449,0.0,99.0,0.0,0
539,478,0.0,96.0,0.0,0
540,386,0.0,95.0,0.0,2
541,390,0.0,92.0,0.0,1
542,641,0.0,92.0,0.0,0
543,473,0.0,90.0,0.0,0
544,857,0.0,89.0,0.0,11
545,597,0.0,88.0,3.0,13
546,629,0.0,87.0,0.0,12
547,687,0.0,86.0,0.0,2
548,715,0.0,82.0,1.0,1
549,790,0.0,81.0,0.0,0
550,731,0.0,80.0,3.0,10
551,509,0.0,80.0,0.0,0
552,848,0.0,79.0,0.0,1
553,467,0.0,79.0,0.0,0
554,645,0.0,78.0,1.0,0
555,407,0.0,77.0,3.0,8
556,895,0.0,77.0,1.0,2
557,508,0.0,77.0,0.0,1
558,833,0.0,76.0,0.0,0
559,811,0.0,75.0,0.0,0
560,806,0.0,74.0,1.0,18
561,453,0.0,74.0,0.0,0
562,847,0.0,73.0,0.0,5
563,678,0.0,73.0,0.0,0
564,459,0.0,72.0,0.0,0
565,330,0.0,71.0,0.0,9
566,685,0.0,67.0,0.0,0
567,882,0.0,67.0,0.0,0
568,722,0.0,66.0,0.0,0
569,513,0.0,65.0,0.0,12
570,269,0.0,65.0,0.0,0
571,523,0.0,64.0,9.0,75
572,667,0.0,63.0,0.0,24
573,502,0.0,63.0,0.0,11
574,455,0.0,63.0,0.0,0
575,669,0.0,63.0,0.0,0
576,855,0.0,61.0,14.0,2
577,846,0.0,60.0,1.0,0
578,469,0.0,58.0,0.0,0
579,750,0.0,57.0,2.0,71
580,483,0.0,57.0,0.0,11
581,404,0.0,56.0,0.0,13
582,488,0.0,56.0,0.0,0
583,631,0.0,56.0,0.0,0
584,596,0.0,55.0,0.0,2
585,339,0.0,54.0,0.0,103
586,634,0.0,54.0,0.0,18
587,427,0.0,54.0,0.0,2
588,475,0.0,53.0,0.0,0
589,862,0.0,52.0,0.0,0
590,570,0.0,51.0,1.0,21
591,416,0.0,51.0,0.0,0
592,813,0.0,51.0,0.0,0
593,724,0.0,48.0,0.0,3
594,519,0.0,48.0,0.0,0
595,505,0.0,47.0,0.0,0
596,575,0.0,47.0,0.0,0
597,878,0.0,47.0,0.0,0
598,636,0.0,46.0,1.0,0
599,419,0.0,45.0,0.0,1
600,670,0.0,45.0,0.0,1
601,605,0.0,45.0,0.0,0
602,827,0.0,45.0,0.0,0
603,761,0.0,44.0,0.0,5
604,569,0.0,43.0,0.0,3
605,798,0.0,42.0,0.0,0
606,380,0.0,41.0,1.0,59
607,649,0.0,40.0,1.0,953
608,547,0.0,40.0,0.0,0
609,824,0.0,40.0,0.0,0
610,474,0.0,39.0,0.0,0
611,480,0.0,39.0,0.0,0
612,755,0.0,39.0,0.0,0
613,918,0.0,38.0,0.0,3
614,573,0.0,38.0,0.0,0
615,679,0.0,36.0,13.0,4
616,853,0.0,36.0,0.0,0
617,486,0.0,35.0,2.0,0
618,347,0.0,35.0,0.0,0
619,464,0.0,35.0,0.0,0
620,617,0.0,34.0,0.0,5
621,618,0.0,34.0,0.0,0
622,725,0.0,32.0,15.0,12
623,595,0.0,32.0,0.0,14
624,387,0.0,31.0,1.0,41
625,454,0.0,31.0,0.0,0
626,772,0.0,30.0,1.0,1
627,492,0.0,30.0,0.0,1
628,461,0.0,30.0,0.0,0
629,613,0.0,30.0,0.0,0
630,457,0.0,29.0,0.0,0
631,506,0.0,29.0,0.0,0
632,809,0.0,29.0,0.0,0
633,560,0.0,28.0,0.0,0
634,767,0.0,28.0,0.0,0
635,326,0.0,27.0,1.0,1
636,693,0.0,27.0,0.0,43
637,582,0.0,27.0,0.0,0
638,353,0.0,26.0,3.0,734
639,643,0.0,26.0,0.0,0
640,941,0.0,26.0,0.0,0
641,746,0.0,24.0,0.0,8
642,842,0.0,22.0,0.0,114
643,420,0.0,22.0,0.0,2
644,472,0.0,22.0,0.0,0
645,707,0.0,21.0,0.0,9
646,593,0.0,21.0,0.0,7
647,913,0.0,21.0,0.0,4
648,860,0.0,21.0,0.0,2
649,218,0.0,21.0,0.0,0
650,463,0.0,21.0,0.0,0
651,640,0.0,21.0,0.0,0
652,765,0.0,21.0,0.0,0
653,462,0.0,20.0,0.0,0
654,787,0.0,20.0,0.0,0
655,925,0.0,20.0,0.0,0
656,587,0.0,19.0,12.0,0
657,611,0.0,19.0,0.0,1
658,332,0.0,18.0,2.0,0
659,607,0.0,18.0,0.0,7
660,522,0.0,18.0,0.0,1
661,465,0.0,18.0,0.0,0
662,511,0.0,18.0,0.0,0
663,512,0.0,18.0,0.0,0
664,828,0.0,18.0,0.0,0
665,422,0.0,17.0,9.0,2
666,388,0.0,17.0,0.0,192
667,592,0.0,17.0,0.0,22
668,214,0.0,17.0,0.0,0
669,343,0.0,17.0,0.0,0
670,470,0.0,17.0,0.0,0
671,520,0.0,17.0,0.0,0
672,664,0.0,17.0,0.0,0
673,733,0.0,17.0,0.0,0
674,759,0.0,16.0,0.0,206
675,834,0.0,16.0,0.0,1
676,484,0.0,16.0,0.0,0
677,665,0.0,15.0,0.0,3
678,307,0.0,15.0,0.0,1
679,543,0.0,15.0,0.0,1
680,206,0.0,15.0,0.0,0
681,355,0.0,15.0,0.0,0
682,494,0.0,15.0,0.0,0
683,779,0.0,15.0,0.0,0
684,900,0.0,15.0,0.0,0
685,915,0.0,14.0,0.0,37
686,583,0.0,14.0,0.0,4
687,548,0.0,14.0,0.0,1
688,482,0.0,14.0,0.0,0
689,756,0.0,14.0,0.0,0
690,837,0.0,14.0,0.0,0
691,938,0.0,13.0,1.0,0
692,825,0.0,13.0,0.0,17
693,658,0.0,13.0,0.0,6
694,760,0.0,13.0,0.0,0
695,793,0.0,12.0,11.0,3
696,655,0.0,12.0,0.0,12
697,608,0.0,12.0,0.0,0
698,627,0.0,12.0,0.0,0
699,635,0.0,12.0,0.0,0
700,768,0.0,11.0,1.0,0
701,348,0.0,11.0,0.0,21
702,729,0.0,11.0,0.0,14
703,602,0.0,11.0,0.0,1
704,481,0.0,11.0,0.0,0
705,703,0.0,11.0,0.0,0
706,890,0.0,10.0,4.0,73
707,714,0.0,10.0,0.0,7
708,238,0.0,10.0,0.0,0
709,379,0.0,10.0,0.0,0
710,514,0.0,10.0,0.0,0
711,766,0.0,10.0,0.0,0
712,312,0.0,9.0,0.0,52
713,561,0.0,9.0,0.0,4
714,927,0.0,9.0,0.0,3
715,740,0.0,9.0,0.0,1
716,795,0.0,9.0,0.0,1
717,289,0.0,9.0,0.0,0
718,373,0.0,9.0,0.0,0
719,471,0.0,9.0,0.0,0
720,490,0.0,9.0,0.0,0
721,923,0.0,9.0,0.0,0
722,843,0.0,8.0,2.0,105
723,615,0.0,8.0,2.0,0
724,541,0.0,8.0,0.0,10
725,922,0.0,8.0,0.0,1
726,518,0.0,8.0,0.0,0
727,747,0.0,8.0,0.0,0
728,936,0.0,8.0,0.0,0
729,500,0.0,7.0,16.0,6
730,305,0.0,7.0,0.0,78
731,521,0.0,7.0,0.0,4
732,675,0.0,7.0,0.0,4
733,690,0.0,7.0,0.0,1
734,771,0.0,7.0,0.0,1
735,784,0.0,7.0,0.0,1
736,479,0.0,7.0,0.0,0
737,536,0.0,7.0,0.0,0
738,921,0.0,7.0,0.0,0
739,650,0.0,6.0,1.0,1
740,885,0.0,6.0,1.0,0
741,930,0.0,6.0,0.0,2
742,754,0.0,6.0,0.0,1
743,819,0.0,6.0,0.0,1
744,586,0.0,6.0,0.0,0
745,937,0.0,6.0,0.0,0
746,577,0.0,5.0,1.0,0
747,628,0.0,5.0,1.0,0
748,763,0.0,5.0,0.0,51
749,711,0.0,5.0,0.0,7
750,735,0.0,5.0,0.0,6
751,535,0.0,5.0,0.0,0
752,566,0.0,5.0,0.0,0
753,926,0.0,5.0,0.0,0
754,931,0.0,5.0,0.0,0
755,933,0.0,5.0,0.0,0
756,935,0.0,5.0,0.0,0
757,888,0.0,4.0,1.0,6
758,782,0.0,4.0,1.0,0
759,744,0.0,4.0,0.0,1
760,370,0.0,4.0,0.0,0
761,624,0.0,4.0,0.0,0
762,794,0.0,4.0,0.0,0
763,673,0.0,3.0,12.0,6
764,255,0.0,3.0,0.0,50
765,338,0.0,3.0,0.0,19
766,558,0.0,3.0,0.0,3
767,248,0.0,3.0,0.0,0
768,450,0.0,3.0,0.0,0
